,CO2_HW,CO2_ p_h,CO2_ p_Area ,CO2 (ug/m3),t1_indexed,acutal T1,t2_indexed, Actual time,CO2 EF,Approx_6,time2
0,126.2472727,368.9026342,46572.95147,83812.2644,230.9647207,0:05:39,357.2119935,0:07:46,264285.21333252004,368.9046781,0:05:40
1,38.52662882,367.8846082,14173.35375,25506.23987,406.5587501,0:08:35,445.0853789,0:09:14,80428.826182071,367.8970921,0:08:36
2,113.538243,367.9103783,41771.89794,75172.33167,541.2379695,0:10:50,654.7762125,0:12:43,237040.913455011,367.8875454,0:10:50
3,69.1303481,376.3056012,26014.1372,46814.80723,798.2370717,0:15:07,867.3674198,0:16:16,147621.13163835902,376.2728161,0:15:07
4,11.33962865,373.3326623,4233.453754,7618.485284,928.7336477,0:17:18,940.0732764,0:17:29,24023.3696460372,373.336148,0:17:18
5,369.3066906,375.4277394,138647.976,249509.65,986.9570971,0:18:16,1356.263788,0:24:25,786778.779345,375.4308508,0:18:16
6,31.21521876,377.482472,11783.19794,21204.937,1015.272093,0:18:44,1046.487312,0:19:15,66865.52784210001,377.4675583,0:18:44
7,72.55216376,377.484424,27387.31175,49285.9598,1499.715378,0:26:49,1572.267542,0:28:01,155413.41703734,377.5464325,0:26:49
8,45.57193495,375.8352979,17127.54175,30822.57002,1623.523741,0:28:52,1669.095676,0:29:38,97192.810044066,375.8634583,0:28:53
9,80.78799154,378.0492237,30541.83749,54962.81593,1795.05246,0:31:44,1875.840452,0:33:05,173314.247472069,378.0442169,0:31:44
10,126.6616177,376.3694093,47671.55825,85789.30728,1946.780138,0:34:16,2073.441756,0:36:22,270519.422646024,376.4101519,0:34:16
11,6.12655555,382.9353305,2346.074574,4221.974694,2013.056829,0:35:22,2019.183384,0:35:28,13313.152802590203,382.9351561,0:35:22
12,193.1623648,376.8942387,72801.78242,131013.4326,2144.340011,0:37:33,2337.502375,0:40:46,413124.65701758,376.8194951,0:37:33
13,34.26290264,379.8567663,13014.9954,23421.66862,2164.954037,0:37:54,2199.21694,0:38:28,73855.547659446,379.8610292,0:37:54
14,13.71809327,372.9458825,5116.106399,9206.899041,2396.941091,0:41:46,2410.659184,0:42:00,29032.114745985305,372.9464187,0:41:46
15,4.176517488,372.7426217,1556.766078,2801.542226,2428.511873,0:42:17,2432.688391,0:42:22,8834.1031012458,372.7434335,0:42:18
16,74.15476898,373.8432627,27722.26078,49888.73105,2495.511067,0:43:24,2569.665836,0:44:39,157314.135619965,373.8625497,0:43:25
17,62.20751317,372.1572714,23150.97836,41662.29235,2647.755753,0:45:57,2709.963266,0:46:59,131373.70646725502,372.1792239,0:45:57
18,131.2114575,376.7702952,49436.57956,88965.62375,2829.41461,0:48:58,2960.626068,0:51:09,280535.30137087504,376.6792965,0:48:58
19,67.85125569,374.9444094,25440.44899,45782.40309,3035.942109,0:52:25,3103.793365,0:53:33,144365.651663697,374.9679405,0:52:25
20,12.69527885,368.5844303,4679.282122,8420.794002,3163.064059,0:54:32,3175.759338,0:54:45,26553.289726506602,368.5824964,0:54:32
21,109.9425654,369.6718583,40642.67245,73140.18765,3265.012447,0:56:14,3374.955013,0:58:04,230632.95371674505,369.6711672,0:56:14
22,77.00099677,372.3595714,28672.05816,51597.97787,3474.105596,0:59:43,3551.106593,1:01:00,162703.90361747102,372.3418364,0:59:43
23,55.0314329,373.1982307,20537.63339,36959.34025,3614.934664,1:02:04,3669.966097,1:02:59,116543.88761032501,373.2067352,1:02:04
24,75.30693856,372.4935564,28051.34937,50480.95592,3720.702433,1:03:50,3796.009371,1:05:05,159181.598302536,372.5154307,1:03:50
25,59.78444058,370.404406,22144.4202,39850.89933,3863.477951,1:06:12,3923.262391,1:07:12,125661.840857289,370.3594913,1:06:12
